,Cod,Haddock,Herring ,Nephrops_W,Plaice,Sole,Whiting,Nephrops_E
1970,0.6,0.553010526,0.38,0.353117089,0.326234177,0.39,0.506021053,0.353117089
1971,0.66,0.608311579,0.41,0.389029536,0.368059072,0.44,0.556623158,0.389029536
1972,0.58,0.534576842,0.46,0.418212025,0.376424051,0.45,0.489153684,0.418212025
1973,0.75,0.691263158,0.49,0.424847046,0.359694093,0.43,0.632526316,0.424847046
1974,0.67,0.617528421,0.58,0.474029536,0.368059072,0.44,0.565056842,0.474029536
1975,0.75,0.691263158,0.63,0.482299578,0.334599156,0.4,0.632526316,0.482299578
1976,0.76,0.70048,0.67,0.514847046,0.359694093,0.43,0.64096,0.514847046
1977,0.78,0.718913684,0.65,0.47975211,0.309504219,0.37,0.657827368,0.47975211
1978,0.56,0.516143158,0.6,0.45056962,0.301139241,0.36,0.472286316,0.45056962
1979,0.65,0.599094737,0.56,0.480759494,0.401518987,0.48,0.548189474,0.480759494
1980,0.67,0.52,0.32,0.522679325,0.53535865,0.64,0.37,0.522679325
1981,0.75,0.6,0.29,0.505,0.6,0.48,0.44,0.505
1982,0.84,0.665,0.27,0.46,0.59,0.44,0.49,0.46
1983,0.77,0.635,0.26,0.455,0.65,0.44,0.5,0.455
1984,0.74,0.675,0.26,0.42,0.56,0.35,0.61,0.42
1985,0.81,0.78,0.29,0.435,0.56,0.34,0.74,0.435
1986,0.81,0.695,0.29,0.455,0.59,0.44,0.58,0.455
1987,0.94,0.78,0.3,0.51,0.71,0.86,0.61,0.51
1988,0.97,0.75,0.32,0.535,0.71,0.69,0.52,0.535
1989,1.09,0.915,0.32,0.47,0.61,0.57,0.73,0.47
1990,0.89,0.755,0.32,0.465,0.59,0.65,0.62,0.465
1991,1.11,0.865,0.31,0.465,0.59,0.5,0.62,0.465
1992,1.17,1.09,0.32,0.53,0.74,0.53,1.02,0.53
1993,1.27,0.65,0.32,0.49,0.64,0.55,0.81,0.49
1994,1.33,0.67,0.33,0.49,0.63,0.49,0.84,0.49
1995,0.95,0.89,0.34,0.465,0.57,0.5,0.82,0.465
1996,1.01,0.72,0.35,0.445,0.51,0.52,0.9,0.445
1997,1.06,0.9,0.37,0.47,0.51,0.59,0.78,0.47
1998,0.96,0.95,0.39,0.49,0.51,0.49,1.09,0.49
1999,1.76,1.39,0.37,0.405,0.39,0.47,0.86,0.405
2000,1.35,0.98,0.36,0.35,0.32,0.45,1.13,0.35
2001,0.98,0.69,0.38,0.36,0.28,0.34,0.91,0.36
2002,1.3,0.87,0.37,0.34,0.24,0.38,1.25,0.34
2003,0.97,0.71,0.37,0.33,0.197,0.36,0.62,0.33
2004,0.86,0.67,0.34,0.28,0.143,0.31,1.72,0.28
2005,0.9,0.54,0.33,0.305,0.192,0.55,0.45,0.305
2006,1.05,0.31,0.3,0.29,0.21,0.46,1.53,0.29
2007,1.02,0.52,0.25,0.255,0.23,0.33,1.2,0.255
2008,1.07,0.45,0.23,0.22,0.173,0.31,0.97,0.22
2009,1.03,0.35,0.22,0.19,0.124,0.38,1.11,0.19
2010,1.05,0.5,0.21,0.215,0.199,0.29,1.15,0.215
2011,0.37,0.27,0.2,0.18,0.119,0.35,0.86,0.18
2012,0.67,0.28,0.196,0.19,0.129,0.3,1.14,0.19
2013,0.23,0.071,0.183,0.165,0.082,0.165,0.65,0.165
2014,0.167,0.144,0.17,0.17,0.089,0.117,1.48,0.17
2015,0.103,0.138,0.17,0.15,0.057,0.073,0.92,0.15
2016,0.044,0.098,0.16,0.15,0.05,0.035,0.51,0.15
