,Cod,Haddock,Herring,Nephrops_W,Plaice,Sole ,Whiting,Nephrops_E
1980,10599,,10613,4578,,1941,20051,
1981,13958,,4377,7249,5472,1667,24395,
1982,13694,,4855,9315,4030,1338,18770,
1983,10387,,3933,9448,4342,1169,14234,
1984,8385,,4066,7760,4897,1058,18379,
1985,10544,,9187,6901,5656,1146,20813,
1986,10006,,7440,11658,5373,1995,14195,
1987,13022,,5823,11361,6908,2808,18129,
1988,14277,,10172,9225,5757,1999,13467,
1989,12953,,4949,8820,5000,1833,15511,
1990,7538,,6312,8584,3711,1583,13100,
1991,7258,,4398,9911,3127,1212,12544,
1992,7833,,5270,8626,3948,1259,16994,
1993,7710,1178,4409,9724,2655,1023,11937,
1994,5544,1510,4828,8791,2801,1374,9109,
1995,4753,2516,5076,9520,2591,1266,9195,
1996,5104,3690,5301,8449,2519,1002,11597,
1997,5979,4442,6651,11301,3244,1003,6133,
1998,5347,5889,4905,10688,4028,911,4837,
1999,4943,4729,4127,13693,3396,863,3854,
2000,1973,2159,2002,10663,2677,818,4998,647
2001,2316,2515,5461,9550,2573,1053,2757,574
2002,2741,2204,2393,8524,2708,1090,2227,619
2003,1500,1907,2399,9711,2668,1014,1476,387
2004,1326,1609,2531,9260,2174,709,1943,500
2005,1114,1217,4387,7942,2491,855,669,603
2006,1025,939,4402,9819,2188,569,3610,650
2007,847,1608,4629,11670,2549,492,3059,1006
2008,723,1429,4895,11899,1831,332,2375,718
2009,554,1160,4594,12133,1589,325,2681,714
2010,850,1187,4894,10502,2939,277,2338,592
2011,413,753,5202,12845,1198,344,1923,561
2012,876,942,5693,12400,1513,320,2738,531
2013,358,536,4828,10262,1028,159,1929,533
2014,397,1006,5202,10031,1230,106,3925,714
2015,308,1485,4891,10871,1012,83,3070,396
2016,142,1306,4327,9263,1119,37,1545,257
